Accession,Palmitic_acid,Stearic_acid,Oleic_acid,Linoleic_acid,Alpha_linoleic_acid,Protein ,Sesamin ,Sesamolin ,Oil,PHE,CNU,BNU,DIA,PAL,DBI,DSW,HIN,TSW,FLO,MAT,FTM,CLE,CWI,CNLA,NLC,Cluster_old,Cluster
TN08,7.296909003,6.043592424,51.07512062,35.08734455,0.497033404,30.40442719,0.681913554,0.734368443,47.69198489,124.4,83.2,3,12.8,89.6,245,23.6,0.096326531,3.106666667,42,91,49,30.8,9.2,3,4,Cluster 1,Cluster1
TN13,8.61323668,5.641612355,45.10776989,39.90581544,0.731565631,29.61098878,1.279228269,1.216315403,52.7419524,116.6,111.4,3.2,11.6,82.2,130.5,29.4,0.225287356,2.606666667,41,88,47,27.8,9.26,3,4,Cluster 1,Cluster1
TN15,8.254906941,5.707194388,44.31989984,41.34070744,0.377291397,30.80988873,2.529918119,1.385681293,50.55112324,146.4,120.2,3.6,11.4,84.2,145.5,25.8,0.177319588,2.74,41,81,40,26.4,8.42,3,4,Cluster 1,Cluster1
TN22,9.521740749,5.381294431,44.47401011,39.98563953,0.63731518,29.93824561,0.4,0.705263158,40.78421053,106.8,76.4,2.2,11.2,71.8,202.5,53.9,0.26617284,3.146666667,42,91,49,28.6,9.52,3,4,Cluster 1,Cluster1
TN23,8.665975928,5.293900559,45.61389871,40.0520037,0.374221103,29.33552907,2.655792555,1.463822668,50.36595567,131.6,107.8,2.4,12.2,81.4,196.5,40.4,0.205597964,2.833333333,42,91,49,24.8,10.66,3,4,Cluster 1,Cluster1
TN31,7.807936236,5.511981874,49.5471886,36.97563889,0.157254392,29.90742689,4.249947402,1.956658952,48.4167894,111,96.2,1.2,14.6,67.8,132.5,16.2,0.122264151,3.246666667,42,91,49,25.6,8.76,3,4,Cluster 1,Cluster1
TN41,9.661544357,5.24196246,42.32653272,41.91364078,0.856319681,26.72862258,0.031592249,0.168491997,44.26074136,126.8,105.8,3.8,14.4,83.6,210,32.5,0.154761905,3.078147887,42,87,45,27.6,10.04,3,4,Cluster 1,Cluster1
TN47,8.413583066,5.176493635,44.24128649,41.86365737,0.30497944,28.10451034,3.299227396,1.493004803,53.15827939,157.4,125,4.2,12.6,95.2,142,38.7,0.272535211,3.237668027,42,85,43,31.6,8.9,3,4,Cluster 1,Cluster1
TN53,9.696105516,4.607432493,43.21807326,41.91694145,0.561447286,27.84673075,0.686595542,0.897855709,44.96672652,182.8,141.6,4.8,12.2,125.4,180.5,42.6,0.23601108,2.81818914,42,81,39,26.6,8.06,3,4,Cluster 1,Cluster1
TN54,10.66760242,4.754803053,44.59163084,39.25782963,0.728134047,27.98777274,0.11594814,0.274059239,45.49383367,121,86.8,3.6,11,64.6,148,37.6,0.254054054,2.930444053,42,85,43,30.2,8.7,3,4,Cluster 1,Cluster1
