Accession,Continent,Block,Dried_Biomass,Dried_Seed_Weight,Harvest_Index,Thousand_Seed_Weight,Flowering,Maturity,Flowering_to_Maturity,Site,Region
T056,Africa,Block7,,,,2.96,53,89,36,Jeonju,Northern Africa
T057,Africa,Block4,330,,,2.82,42,87,45,Jeonju,Northern Africa
T058,Africa,Block2,570,,,2.68,44,88,44,Jeonju,Northern Africa
T059,Africa,Block5,,,,3.68,42,92,50,Jeonju,Northern Africa
T060,Africa,Block4,235,41.59,0.18,3.68,93,128,35,Jeonju,Northern Africa
T061,Africa,Block4,690,43.57,0.06,2.82,68,92,24,Jeonju,Northern Africa
T062,Africa,Block8,,28.1,,3.26,42,93,51,Jeonju,Northern Africa
T063,Africa,Block3,410,,,1.74,44.5,89.5,45,Jeonju,Northern Africa
T064,Africa,Block2,370,,,2.28,88,124,36,Jeonju,Northern Africa
T065,Africa,Block8,290,,,,41,81,40,Jeonju,Northern Africa
T066,Africa,Block6,,,,1.72,47,90,43,Jeonju,Northern Africa
T067,Africa,Block8,,8.2,,2.46,41,89,48,Jeonju,Western Africa
T068,Africa,Block8,,,,2.5,86,122,36,Jeonju,Western Africa
T069,Africa,Block1,125,0.01,,,47,89,42,Jeonju,Western Africa
T070,Africa,Block7,515,86.24,0.17,1.88,39,80,41,Jeonju,Central Africa
T071,Africa,Block7,,14.74,,2.12,42,90,48,Jeonju,Central Africa
T072,Africa,Block7,590,2.67,,1.7,82,122,40,Jeonju,Central Africa
T073,Africa,Block3,,,,,84,124,40,Jeonju,Eastern Africa
T074,Africa,Block4,,51.35,,2.5,40,90,50,Jeonju,Northern Africa
T075,Africa,Block2,335,,,3.2,42,90,48,Jeonju,Northern Africa
T076,Africa,Block8,460,54.56,0.12,2.66,40,114,74,Jeonju,Northern Africa
T077,Africa,Block7,290,,,,67,89,22,Jeonju,Eastern Africa
T078,Africa,Block1,665,32.51,0.05,2.54,42,92,50,Jeonju,Eastern Africa
T079,Africa,Block5,550,23.28,0.04,1.7,50,90,40,Jeonju,Eastern Africa
T080,Africa,Block3,,8.29,,2.32,86,128,42,Jeonju,Eastern Africa
T081,Africa,Block6,,,,2.26,40,88,48,Jeonju,Eastern Africa
T082,Africa,Block1,,,,,56,90,34,Jeonju,Central Africa
T083,Africa,Block1,770,30.1,0.04,2.24,85,126,41,Jeonju,Eastern Africa
T084,Africa,Block3,165,,,2.34,49,90,41,Jeonju,Eastern Africa
T085,Africa,Block3,145,21.4,0.15,1.96,84,124,40,Jeonju,Eastern Africa
T086,Africa,Block8,490,,,2.5,53,90,37,Jeonju,Northern Africa
T087,Africa,Block4,,,,2.62,84,125,41,Jeonju,Northern Africa
T088,Africa,Block7,,,,3.36,40,90,50,Jeonju,Northern Africa
T089,Africa,Block6,,,,3.52,41,120,79,Jeonju,Northern Africa
T090,Africa,Block3,,36.34,,3.02,41,79,38,Jeonju,Northern Africa
T091,Africa,Block4,320,,,,42,122,80,Jeonju,Northern Africa
T092,Africa,Block2,475,5.85,0.01,2.18,40,92,52,Jeonju,Northern Africa
T093,Africa,Block6,,,,,44,90,46,Jeonju,Northern Africa
T094,Africa,Block7,,56.06,,2.72,94,122,28,Jeonju,Northern Africa
T095,Africa,Block7,245,,,2.7,64,90,26,Jeonju,Northern Africa
T096,Africa,Block7,350,47.5,0.14,2.45,42,90,48,Jeonju,Northern Africa
T097,Africa,Block7,,,,,113,144,31,Jeonju,Eastern Africa
T098,Africa,Block4,325,24.84,0.08,2,48,90,42,Jeonju,Western Africa
T099,Africa,Block7,315,3.77,0.01,1.32,42,89,47,Jeonju,Western Africa
T100,Africa,Block3,690,,,1.9,50,89,39,Jeonju,Western Africa
T101,Africa,Block6,,,,1.1,48,89,41,Jeonju,Western Africa
T102,Africa,Block2,755,,,2.14,46,90,44,Jeonju,Western Africa
T103,Africa,Block2,255,36.92,0.14,2.86,39,76,37,Jeonju,Western Africa
T104,Africa,Block5,185,42.57,0.23,2.72,40,92,52,Jeonju,Western Africa
T105,Africa,Block7,290,28.75,0.1,2.16,42,89,47,Jeonju,Western Africa
T106,Africa,Block2,415,,,1.83,46,94,48,Jeonju,Western Africa
T107,Africa,Block2,,,,,42,90,48,Jeonju,Western Africa
T108,Africa,Block5,410,,,2.04,49,91,42,Jeonju,Western Africa
T109,Africa,Block6,,,,1.68,47,89,42,Jeonju,Western Africa
T110,Africa,Block7,320,39.65,0.12,2.12,46,90,44,Jeonju,Western Africa
T111,Africa,Block6,760,,,2.2,46,89,43,Jeonju,Western Africa
T112,Africa,Block5,400,,,2.84,42,89,47,Jeonju,Western Africa
T113,Africa,Block8,545,,,,40,84,44,Jeonju,Western Africa
T114,Africa,Block7,,,,2.44,96,122,26,Jeonju,Western Africa
T115,Africa,Block3,245,,,2.5,45,89,44,Jeonju,Western Africa
T116,Africa,Block3,,18.98,,2.12,46,89,43,Jeonju,Western Africa
T117,Africa,Block1,665,,,2.28,88,125,37,Jeonju,Northern Africa
T118,Africa,Block1,185,,,,48,89,41,Jeonju,Northern Africa
T119,Africa,Block2,235,,,2.14,40,83,43,Jeonju,Northern Africa
T120,Africa,Block5,,,,2.72,36,84,48,Jeonju,Northern Africa
T121,Africa,Block7,,40.18,,1.58,42,89,47,Jeonju,Northern Africa
T122,Africa,Block3,,0.06,,,45,90,45,Jeonju,Northern Africa
T123,Africa,Block4,,,,1.76,44,90,46,Jeonju,Northern Africa
T124,Africa,Block8,160,21.19,0.13,2.46,74,103,29,Jeonju,Northern Africa
T125,Africa,Block4,,,,1.23,41,84,43,Jeonju,Northern Africa
T126,Africa,Block6,,,,,41,,,Jeonju,Northern Africa
T127,Africa,Block6,425,,,1.96,43,92,49,Jeonju,Northern Africa
T128,Africa,Block3,640,33.53,0.05,2.66,48,104,56,Jeonju,Northern Africa
T129,Africa,Block4,,20.22,,1.8,44,92,48,Jeonju,Northern Africa
T130,Africa,Block8,290,,,2.46,92,120,28,Jeonju,Northern Africa
T131,Africa,Block6,,,,1.76,92,124,32,Jeonju,Northern Africa
T132,Africa,Block7,,,,1.74,94,127,33,Jeonju,Northern Africa
T133,Africa,Block6,,8.37,,1.68,92,123,31,Jeonju,Northern Africa
T134,Africa,Block4,360,,,1.96,84,128,44,Jeonju,Northern Africa
T135,Africa,Block3,320,,,1.92,90,124,34,Jeonju,Northern Africa
T136,Africa,Block1,,1.29,,1.44,93,127,34,Jeonju,Northern Africa
T137,Africa,Block8,335,38.37,0.11,2.44,88,124,36,Jeonju,Northern Africa
T138,Africa,Block4,245,,,2.2,40,83,43,Jeonju,Northern Africa
T139,Africa,Block2,,4.65,,2.5,89,122,33,Jeonju,Northern Africa
T140,Africa,Block8,,,,2.48,85,122,37,Jeonju,Northern Africa
T141,Africa,Block7,310,,,1.72,88,124,36,Jeonju,Northern Africa
T142,Africa,Block5,400,,,,87,127,40,Jeonju,Northern Africa
T143,Africa,Block4,535,,,1.7,84,123,39,Jeonju,Northern Africa
T144,Africa,Block3,,,,,88,125,37,Jeonju,Northern Africa
T145,Africa,Block4,,,,2.26,98,124,26,Jeonju,Northern Africa
T146,Africa,Block3,545,,,2.18,91,128,37,Jeonju,Northern Africa
T147,Africa,Block1,280,,,3.04,67,113,46,Jeonju,Northern Africa
T148,Africa,Block1,,4.77,,1.3,44,90,46,Jeonju,Northern Africa
T149,Africa,Block1,,,,2.04,89,130,41,Jeonju,Northern Africa
T150,Africa,Block6,,,,1.3,90,126,36,Jeonju,Northern Africa
T151,Africa,Block5,,,,1.72,92,131,39,Jeonju,Northern Africa
T152,Africa,Block3,,6.21,,1.46,89,124,35,Jeonju,Northern Africa
T153,Africa,Block4,285,,,2.72,84,128,44,Jeonju,Northern Africa
T154,Africa,Block4,,,,1.68,80,125,45,Jeonju,Northern Africa
T155,Africa,Block3,,,,,83,128,45,Jeonju,Northern Africa
T156,Africa,Block7,,,,,40,81,41,Jeonju,Northern Africa
T157,Africa,Block1,365,,,1.02,87,125,38,Jeonju,Northern Africa
T158,Africa,Block5,280,,,2.05,80,120,40,Jeonju,Northern Africa
T159,Africa,Block8,,,,,83,123,40,Jeonju,Northern Africa
T160,Africa,Block4,,,,1.28,85,125,40,Jeonju,Northern Africa
T161,Africa,Block4,295,5.64,0.02,1.45,78,128,50,Jeonju,Northern Africa
T162,Africa,Block8,,,,,40,82,42,Jeonju,Northern Africa
T163,Africa,Block8,840,,,2.06,,,,Jeonju,Northern Africa
T164,Africa,Block5,360,,,1.46,47,98,51,Jeonju,Northern Africa
T165,Africa,Block1,,,,1.34,86,127,41,Jeonju,Northern Africa
T166,Africa,Block1,,,,2.34,64,121,57,Jeonju,Northern Africa
T167,Africa,Block8,,,,1.7,54,94,40,Jeonju,Central Africa
T168,Africa,Block2,325,,,2.48,,,,Jeonju,Northern Africa
T169,Africa,Block1,,,,2.04,54,89,35,Jeonju,Eastern Africa
T170,Africa,Block4,,,,2.22,86,129,43,Jeonju,Eastern Africa
T171,Africa,Block3,,,,,,,,Jeonju,Eastern Africa
T172,Africa,Block1,,,,,78,124,46,Jeonju,Eastern Africa
T173,Africa,Block1,590,,,2.24,74.5,119.5,45,Jeonju,Eastern Africa
T174,Africa,Block1,,,,,88,124,36,Jeonju,Eastern Africa
T175,Africa,Block6,,,,,70,123,53,Jeonju,Eastern Africa
T176,Africa,Block1,345,80.69,0.23,1.83,39,84,45,Jeonju,Northern Africa
T177,Africa,Block2,,,,2.42,74,120,46,Jeonju,Northern Africa
T178,Africa,Block2,280,55.11,0.2,2.43,72,118,46,Jeonju,Northern Africa
T179,Africa,Block8,525,1.2,,1.49,82,126,44,Jeonju,Northern Africa
T180,Africa,Block8,440,63.35,0.14,2.54,63,103,40,Jeonju,Northern Africa
T181,Africa,Block4,275,49.65,0.18,2.86,74,128,54,Jeonju,Northern Africa
T182,Africa,Block6,390,,,2.64,74,130,56,Jeonju,Northern Africa
T183,Africa,Block4,,60.36,,2.86,77,124,47,Jeonju,Northern Africa
T184,Africa,Block3,,,,,44,90,46,Jeonju,Eastern Africa
T185,Africa,Block4,,,,,47,92,45,Jeonju,Eastern Africa
T186,Africa,Block8,,3.4,,2.44,50,89,39,Jeonju,Eastern Africa
T187,Africa,Block4,,,,,48,90,42,Jeonju,Eastern Africa
T188,Africa,Block6,,,,,38,76,38,Jeonju,Eastern Africa
T189,Africa,Block6,,,,,50,84,34,Jeonju,Eastern Africa
T190,Africa,Block8,,,,,48,89,41,Jeonju,Eastern Africa
T191,Africa,Block7,320,,,,44,92,48,Jeonju,Eastern Africa
T192,Africa,Block8,,,,2,47,92,45,Jeonju,Eastern Africa
T193,Africa,Block7,,,,2.26,43,91,48,Jeonju,Eastern Africa
T194,Africa,Block7,400,,,,40,79,39,Jeonju,Eastern Africa
T195,Africa,Block4,,12.98,,2.06,44,88,44,Jeonju,Eastern Africa
T196,Africa,Block6,,,,,81,121,40,Jeonju,Eastern Africa
T197,Africa,Block1,,,,,58,92,34,Jeonju,Eastern Africa
T198,Africa,Block5,,,,,83,127,44,Jeonju,Eastern Africa
T199,Africa,Block3,695,9.85,0.01,2.16,81,114,33,Jeonju,Eastern Africa
T200,Africa,Block7,300,,,2,80,128,48,Jeonju,Central Africa
T201,Africa,Block7,,,,2.2,81,128,47,Jeonju,Central Africa
T202,Africa,Block4,205,,,2.98,77,123,46,Jeonju,Central Africa
T203,Africa,Block3,,,,,74,122,48,Jeonju,Central Africa
T204,Africa,Block1,,,,,71,116,45,Jeonju,Central Africa
T205,Africa,Block2,985,,,2.3,58,94,36,Jeonju,Eastern Africa
T206,Africa,Block2,,,,2.22,44,110,66,Jeonju,Central Africa
T207,Africa,Block4,310,0.25,,2.08,40,90,50,Jeonju,Central Africa
T208,Africa,Block2,,47.92,,2.4,62,114,52,Jeonju,Northern Africa
T209,Africa,Block3,,,,2.82,38,76,38,Jeonju,Northern Africa
T210,Africa,Block6,,29.48,,2.24,76,126,50,Jeonju,Northern Africa
T211,Africa,Block8,,,,1.92,78,128,50,Jeonju,Eastern Africa
T212,Africa,Block3,160,8.71,0.05,2,71,125,54,Jeonju,Eastern Africa
T213,Africa,Block1,,,,2.28,86,122,36,Jeonju,Eastern Africa
T214,Africa,Block6,315,,,2.76,79,114,35,Jeonju,Western Africa
T215,Africa,Block8,,,,,91,128,37,Jeonju,Eastern Africa
T216,Africa,Block2,465,,,2.34,93,124,31,Jeonju,Northern Africa
T217,Africa,Block4,,3.05,,1.42,54,89,35,Jeonju,Western Africa
T218,Africa,Block8,,12.48,,1.64,90,129,39,Jeonju,Eastern Africa
T219,Africa,Block7,,,,2.72,88,123,35,Jeonju,Northern Africa
T220,Africa,Block8,140,,,1.56,92,131,39,Jeonju,Northern Africa
T221,Africa,Block5,475,16.82,0.04,3.14,47,92,45,Jeonju,Western Africa
T222,Africa,Block6,415,1.53,,1.34,64,117,53,Jeonju,Western Africa
T223,Africa,Block2,,,,,40,79,39,Jeonju,Western Africa
T224,Africa,Block5,,,,,75,119,44,Jeonju,Western Africa
T225,Africa,Block2,640,,,,50,119,69,Jeonju,Western Africa
T226,Africa,Block5,,,,1.82,48,122,74,Jeonju,Western Africa
T227,Africa,Block8,780,109.8,0.14,3.08,50,119,69,Jeonju,Northern Africa
T228,Africa,Block6,175,14.74,0.08,2.18,94,131,37,Jeonju,Northern Africa
T229,Africa,Block2,,,,2.16,71,114,43,Jeonju,Northern Africa
T230,Africa,Block6,390,13.76,0.04,2.04,94,130,36,Jeonju,Northern Africa
T231,Africa,Block7,,,,1.88,38,90,52,Jeonju,Northern Africa
T232,Africa,Block2,,,,2.2,42,107,65,Jeonju,Northern Africa
T233,Africa,Block7,,6.63,,1.78,54,109,55,Jeonju,Northern Africa
T234,Africa,Block1,,,,2.2,,,,Jeonju,Northern Africa
T235,Africa,Block6,,,,,55,107,52,Jeonju,Eastern Africa
T236,Africa,Block8,,,,,40,81,41,Jeonju,Eastern Africa
T237,Africa,Block6,,33.79,,2.36,58,110,52,Jeonju,Central Africa
T238,Africa,Block1,,,,2.76,40,87,47,Jeonju,Northern Africa
T239,Africa,Block6,150,17.92,0.12,2.56,50,107,57,Jeonju,Eastern Africa
T240,Africa,Block6,,,,2.94,49,110,61,Jeonju,Eastern Africa
T241,Africa,Block1,190,93.27,0.49,2.19,64,111,47,Jeonju,Eastern Africa
T242,Africa,Block2,175,34.09,0.19,1.96,92,123,31,Jeonju,Eastern Africa
T243,Africa,Block3,390,58.37,0.15,2.18,42,85,43,Jeonju,Eastern Africa
T244,Africa,Block6,100,36.01,0.36,2.71,93,125,32,Jeonju,Eastern Africa
T245,Africa,Block4,315,,,2.76,44,103,59,Jeonju,Eastern Africa
T246,Africa,Block6,415,,,,57,110,53,Jeonju,Northern Africa
T247,Africa,Block6,,,,2.46,82,119,37,Jeonju,Northern Africa
T248,Africa,Block3,,,,2.78,54,90,36,Jeonju,Eastern Africa
T249,Africa,Block7,,,,2.78,50,91,41,Jeonju,Eastern Africa
T250,Africa,Block4,,73.49,,2.44,47,91,44,Jeonju,Eastern Africa
T251,Africa,Block2,,,,2.46,57,91,34,Jeonju,Eastern Africa
T252,Africa,Block1,,,,2.24,92,124,32,Jeonju,Eastern Africa
T253,Africa,Block2,,57.82,,2.34,93,128,35,Jeonju,Eastern Africa
T254,Africa,Block6,325,53.28,0.16,2.4,48,90,42,Jeonju,Eastern Africa
T255,Africa,Block4,,,,3.12,47,91,44,Jeonju,Eastern Africa
T256,Africa,Block5,235,,,2.26,48,92,44,Jeonju,Northern Africa
T257,Africa,Block5,,50.37,,2.64,91,122,31,Jeonju,Eastern Africa
T258,Africa,Block5,,,,2.42,57,92,35,Jeonju,Eastern Africa
T259,Africa,Block8,315,,,2.56,40,81,41,Jeonju,Eastern Africa
T260,Africa,Block7,,,,,75,108,33,Jeonju,Eastern Africa
T261,Africa,Block7,155,49.43,0.32,2.63,77,111,34,Jeonju,Northern Africa
T262,Africa,Block5,205,,,2.9,91,127,36,Jeonju,Northern Africa
T263,Africa,Block3,270,46.8,0.17,1.72,90,122,32,Jeonju,Northern Africa
T264,Africa,Block5,320,57.11,0.18,2.52,54,110,56,Jeonju,Northern Africa
T265,Africa,Block6,110,,,2.54,57,93,36,Jeonju,Northern Africa
T266,Africa,Block7,,59.64,,2.44,90,123,33,Jeonju,Northern Africa
T267,Africa,Block5,,,,,92,125,33,Jeonju,Northern Africa
T268,Africa,Block5,,,,,91,127,36,Jeonju,Eastern Africa
T269,Africa,Block8,205,69.32,0.34,2.27,37,74,37,Jeonju,Northern Africa
T270,Africa,Block1,270,71.12,0.26,2.67,39,79,40,Jeonju,Northern Africa
T271,Africa,Block6,,,,2.68,51,118,67,Jeonju,Northern Africa
T272,Africa,Block2,,,,2.6,90,123,33,Jeonju,Northern Africa
T273,Africa,Block4,,,,2.88,59,111,52,Jeonju,Southern Africa
T274,Africa,Block3,,,,,93,124,31,Jeonju,Eastern Africa
T275,Africa,Block8,345,46.19,0.13,2.55,92,128,36,Jeonju,Northern Africa
T276,Africa,Block2,,,,2.5,78,122,44,Jeonju,Northern Africa
T277,Africa,Block6,,,,2.7,59,83,24,Jeonju,Northern Africa
T278,Africa,Block1,130,35.15,0.27,2.68,40,82,42,Jeonju,Northern Africa
T279,Africa,Block8,90,11.61,0.13,2.13,64,120,56,Jeonju,Northern Africa
T280,Africa,Block7,,,,2.56,54,124,70,Jeonju,Western Africa
T281,Africa,Block1,285,39.8,0.14,2.11,38,74,36,Jeonju,Western Africa
T282,Africa,Block7,,83.49,,2.98,54,126,72,Jeonju,Northern Africa
T283,Africa,Block7,250,43.6,0.17,2.38,56,111,55,Jeonju,Northern Africa
T284,Africa,Block8,285,63.21,0.22,2.48,82,122,40,Jeonju,Western Africa
T285,Africa,Block1,145,34.05,0.23,2.87,40,92,52,Jeonju,Northern Africa
T286,Africa,Block7,290,,,3.12,41,80,39,Jeonju,Northern Africa
T287,Africa,Block6,,,,,80,124,44,Jeonju,Northern Africa
T288,Africa,Block4,,,,3.16,82,125,43,Jeonju,Northern Africa
T289,Africa,Block5,400,,,2.76,86,130,44,Jeonju,Northern Africa
T290,Africa,Block1,200,43.64,0.22,2.6,40,81,41,Jeonju,Eastern Africa
T291,Africa,Block3,,,,1.72,59,122,63,Jeonju,Northern Africa
T292,Africa,Block1,595,,,3.18,41,92,51,Jeonju,Eastern Africa
T293,Africa,Block3,,,,,57,84,27,Jeonju,Northern Africa
T294,Asia,Block6,290,38.49,0.13,2.76,86,121,35,Jeonju,Middle East
T295,Asia,Block1,245,63.94,0.26,3.3,40,77,37,Jeonju,Middle East
T296,Asia,Block7,,3.42,,2.16,61,122,61,Jeonju,Middle East
T297,Asia,Block4,350,,,2.92,67,118,51,Jeonju,Middle East
T298,Asia,Block7,223,56.8,0.25,3.37,77,119,42,Jeonju,Middle East
T299,Asia,Block3,215,48.32,0.22,2.31,57,118,61,Jeonju,Middle East
T300,Asia,Block4,250,1.71,0.01,1.44,56,111,55,Jeonju,Middle East
T301,Asia,Block4,,,,,42,83,41,Jeonju,Middle East
T302,Asia,Block8,265,42.23,0.16,2.94,77,122,45,Jeonju,Middle East
T303,Asia,Block6,245,43.11,0.18,2.16,48,113,65,Jeonju,Middle East
T304,Africa,Block5,300,,,2.6,86,124,38,Jeonju,Northern Africa
T305,Africa,Block4,,34.56,,2.26,46,83,37,Jeonju,Northern Africa
T306,Asia,Block3,,,,,93,128,35,Jeonju,Southern Asia
T307,Asia,Block8,,,,,94,131,37,Jeonju,Southern Asia
T308,Asia,Block8,720,63.38,0.09,2.6,82,122,40,Jeonju,Southern Asia
T309,Asia,Block1,910,100.97,0.11,2.88,42,91,49,Jeonju,Southern Asia
T310,Asia,Block1,,,,2.04,44,80,36,Jeonju,Southern Asia
T311,Asia,Block6,300,19.32,0.06,2.74,59,103,44,Jeonju,Southern Asia
T312,Asia,Block5,,,,2.24,48,105,57,Jeonju,Southern Asia
T313,Asia,Block3,350,,,2.34,58,102,44,Jeonju,Southern Asia
T314,Asia,Block7,140,58.63,0.42,2.4,43,91,48,Jeonju,Eastern Asia
T315,Asia,Block4,300,53.06,0.18,2.26,88,124,36,Jeonju,Eastern Asia
T316,Asia,Block4,,84.41,,2.24,62,91,29,Jeonju,Eastern Asia
T317,Asia,Block6,555,128.11,0.23,2.7,60,94,34,Jeonju,Eastern Asia
T318,Asia,Block3,155,28.9,0.19,2.02,93,125,32,Jeonju,Eastern Asia
T319,Others,Block6,,22.83,,2.02,44,91,47,Jeonju,Northern America
T320,Others,Block4,255,7.41,0.03,2.15,45,89,44,Jeonju,Northern America
T321,Others,Block3,525,4.73,0.01,2.74,83,125,42,Jeonju,Northern America
T322,Others,Block2,,,,2,64,90,26,Jeonju,Northern America
T323,Others,Block3,260,,,1.92,62,90,28,Jeonju,Northern America
T324,Asia,Block2,345,72.35,0.21,2.11,86,126,40,Jeonju,Eastern Asia
T325,Asia,Block1,335,83.82,0.25,2.32,84,123,39,Jeonju,Eastern Asia
T326,Asia,Block6,,26.88,,2.34,43,89,46,Jeonju,Eastern Asia
T327,Asia,Block5,215,,,1.96,62,92,30,Jeonju,Eastern Asia
T328,Asia,Block6,,,,2.24,84,124,40,Jeonju,Eastern Asia
T329,Africa,Block7,160,62.38,0.39,2.48,64,112,48,Jeonju,Northern Africa
T330,Africa,Block3,220,31.6,0.14,2.08,86,125,39,Jeonju,Northern Africa
T331,Africa,Block8,395,70.83,0.18,4.06,64,98,34,Jeonju,Northern Africa
T332,Asia,Block6,,46.94,,2.44,44,92,48,Jeonju,Southern Asia
T333,Asia,Block5,380,,,1.9,40,80,40,Jeonju,Southern Asia
T334,Asia,Block8,255,59.24,0.23,1.97,90,125,35,Jeonju,Southern Asia
T335,Asia,Block2,300,36.49,0.12,3.5,92,124,32,Jeonju,Southern Asia
T336,Others,Block2,280,67.08,0.24,2.65,38,75,37,Jeonju,Eurasia
T337,Others,Block3,410,93.08,0.23,2.06,60,108,48,Jeonju,Eurasia
T338,Others,Block1,,,,2.16,62,94,32,Jeonju,Eurasia
T339,Others,Block8,,42.15,,3.08,42,92,50,Jeonju,Eurasia
T340,Others,Block1,,97.52,,2.5,72,115,43,Jeonju,Eurasia
T341,Others,Block7,415,,,2.56,84,124,40,Jeonju,Eurasia
T342,Asia,Block4,475,100.4,0.21,2.73,38,83,45,Jeonju,Eastern Asia
T343,Asia,Block4,,32.65,,2.8,40,88,48,Jeonju,Eastern Asia
T344,Asia,Block6,190,70.49,0.37,2.2,41,90,49,Jeonju,Eastern Asia
T345,Asia,Block7,,53.04,,2.58,42,85,43,Jeonju,Eastern Asia
T346,Asia,Block1,240,66.7,0.28,2.5,83,123.6,40.6,Jeonju,Eastern Asia
T347,Asia,Block7,425,37.77,0.09,2.62,81,120,39,Jeonju,Southern Asia
T348,Asia,Block4,290,60.92,0.21,2.34,84,119,35,Jeonju,Southern Asia
T349,Asia,Block5,470,68.64,0.15,2.64,39,89,50,Jeonju,Southern Asia
T350,Asia,Block2,475,,,2,41,89,48,Jeonju,Southern Asia
T351,Others,Block3,,,,,80,118,38,Jeonju,Middle East
T352,Others,Block5,290,25.73,0.09,2.04,38,83,45,Jeonju,Middle East
T353,Others,Block5,,,,,40,85,45,Jeonju,Middle East
T354,Others,Block8,,,,,83,125,42,Jeonju,Middle East
T355,Others,Block4,,40.23,,2.2,81,127,46,Jeonju,Middle East
T356,Others,Block2,,,,,67,104,37,Jeonju,Middle East
T357,Asia,Block5,,,,2.24,85,119,34,Jeonju,Southern Asia
T358,Asia,Block7,270,78.75,0.29,3.82,38,77,39,Jeonju,Southern Asia
T359,Asia,Block3,525,48.93,0.09,1.84,42,89,47,Jeonju,Southern Asia
T360,Asia,Block8,400,78.89,0.2,2.74,40,80,40,Jeonju,Southern Asia
T361,Asia,Block3,270,42.96,0.16,2.42,39,82,43,Jeonju,Southern Asia
T362,Asia,Block8,365,,,3.34,47,92,45,Jeonju,Southern Asia
T363,Asia,Block4,590,113.97,0.19,2.56,59,94,35,Jeonju,Southern Asia
T364,Asia,Block3,,20.39,,2.06,81,122,41,Jeonju,Southern Asia
T365,Asia,Block8,290,66.5,0.23,2.62,118,173,55,Jeonju,Southern Asia
T366,Asia,Block2,315,47.94,0.15,2.84,40,79,39,Jeonju,Southern Asia
T367,Asia,Block3,450,,,,39,85,46,Jeonju,Middle East
T368,Asia,Block3,560,,,1.92,62,94,32,Jeonju,Eastern Asia
T369,Asia,Block5,490,102.15,0.21,2.32,40,89,49,Jeonju,Eastern Asia
T370,Asia,Block2,,40.47,,1.56,41,87,46,Jeonju,Eastern Asia
T371,Asia,Block1,150,25.51,0.17,2.06,79,120,41,Jeonju,Eastern Asia
T372,Asia,Block3,260,39.57,0.15,2.41,44,89,45,Jeonju,Eastern Asia
T373,Asia,Block2,955,,,2.72,81,124,43,Jeonju,Southern Asia
T374,Asia,Block2,,,,,39,89,50,Jeonju,Southern Asia
T375,Asia,Block5,,,,2.2,74,118,44,Jeonju,Southern Asia
T376,Asia,Block5,,11.14,,2.3,56,90,34,Jeonju,Southern Asia
T377,Asia,Block5,270,7.26,0.03,2.38,82,125,43,Jeonju,Southern Asia
T378,Asia,Block5,540,,,2.4,41,89,48,Jeonju,Southern Asia
T379,Asia,Block7,290,55.87,0.19,2.72,76,117,41,Jeonju,Southern Asia
T380,Asia,Block1,,,,1.35,48,89,41,Jeonju,Southern Asia
T381,Asia,Block2,,3.82,,1.94,39,78,39,Jeonju,Southern Asia
T382,Asia,Block4,260,49.12,0.19,2.66,40,80,40,Jeonju,Middle East
T383,Asia,Block4,,71.14,,2.36,39,89,50,Jeonju,Middle East
T384,Asia,Block5,170,28.28,0.17,2.71,59,92,33,Jeonju,Middle East
T385,Asia,Block8,,69.48,,2.6,42,85,43,Jeonju,Middle East
T386,Others,Block3,745,154.08,0.21,2.2,82,119,37,Jeonju,Northern America
T387,Others,Block5,395,47.75,0.12,2.39,86,125,39,Jeonju,Northern America
T388,Others,Block8,455,64.33,0.14,2.58,59,84,25,Jeonju,Northern America
T389,Others,Block7,435,74.09,0.17,2.32,41,89,48,Jeonju,Northern America
T390,Others,Block3,195,66.07,0.34,2.54,73,118,45,Jeonju,Northern America
T391,Others,Block8,,22.84,,2.02,78,129,51,Jeonju,Southern America
T392,Others,Block6,,53.97,,2.68,42,91,49,Jeonju,Southern America
T393,Others,Block6,135,,,2.7,39,94,55,Jeonju,Southern America
T394,Asia,Block8,180,49.8,0.28,2.74,80,127,47,Jeonju,Eastern Asia
T395,Asia,Block3,445,107.41,0.24,2.41,59,116,57,Jeonju,Eastern Asia
T396,Asia,Block1,,41.84,,2.2,59,90,31,Jeonju,Eastern Asia
T397,Asia,Block5,140,47.55,0.34,2.24,60,92,32,Jeonju,Eastern Asia
T398,Asia,Block1,95,32.74,0.34,2.61,84,122,38,Jeonju,Eastern Asia
T399,Asia,Block2,325,61.79,0.19,2.75,58,92,34,Jeonju,Eastern Asia
T400,Asia,Block2,200,58.97,0.29,2.8,48,89,41,Jeonju,Eastern Asia
T401,Asia,Block4,,,,2.64,78,118,40,Jeonju,Eastern Asia
T402,Asia,Block2,555,,,2.55,56,92,36,Jeonju,Eastern Asia
T403,Asia,Block1,195,70.94,0.36,2.16,84,123,39,Jeonju,Eastern Asia
T404,Asia,Block7,210,98,0.47,2.82,78,126,48,Jeonju,Eastern Asia
T405,Asia,Block2,225,,,2.21,86,127,41,Jeonju,Unknown
T406,Asia,Block2,,71.78,,2.67,84,128,44,Jeonju,Unknown
T407,Asia,Block2,195,57.2,0.29,2.17,97,137,40,Jeonju,Eastern Asia
T408,Asia,Block5,225,55.39,0.25,2.38,89,130,41,Jeonju,Eastern Asia
T409,Asia,Block4,105,31.08,0.3,2.57,47,94,47,Jeonju,Eastern Asia
