Accession,Continent,Block,Capsule_width,Capsule_length,Region
T298,Others,Block7,6.2,28,Middle East
T298,Others,Block7,7.1,21,Middle East
T298,Others,Block7,7,26,Middle East
T298,Others,Block7,7.5,20,Middle East
T299,Others,Block3,8,29,Middle East
T299,Others,Block3,8.1,27,Middle East
T299,Others,Block3,6.9,23,Middle East
T299,Others,Block3,7.6,20,Middle East
T299,Others,Block3,,,Middle East
T300,Others,Block4,7.5,23,Middle East
T300,Others,Block4,8,21,Middle East
T300,Others,Block4,7.8,20,Middle East
T300,Others,Block4,8,23,Middle East
T300,Others,Block4,7,22,Middle East
T301,Others,Block4,7.5,28,Middle East
T301,Others,Block4,8.3,26,Middle East
T301,Others,Block4,7.1,15,Middle East
T301,Others,Block4,,,Middle East
T301,Others,Block4,,,Middle East
T302,Others,Block8,7.4,23,Middle East
T302,Others,Block8,8.1,25,Middle East
T302,Others,Block8,7.4,23,Middle East
T302,Others,Block8,7.7,23,Middle East
T302,Others,Block8,9,25,Middle East
T303,Others,Block6,7.7,28,Middle East
T303,Others,Block6,7.5,28,Middle East
T303,Others,Block6,7.6,22,Middle East
T303,Others,Block6,9.2,34,Middle East
T303,Others,Block6,8.5,30,Middle East
T382,Others,Block4,8.4,32,Middle East
T382,Others,Block4,6.9,22,Middle East
T382,Others,Block4,7.4,26,Middle East
T382,Others,Block4,7.5,19,Middle East
T382,Others,Block4,7.2,25,Middle East
T383,Others,Block4,7.9,35,Middle East
T383,Others,Block4,7.3,34,Middle East
T383,Others,Block4,7.7,34,Middle East
T383,Others,Block4,7,29,Middle East
T383,Others,Block4,7.2,27,Middle East
T384,Others,Block5,7.4,25,Middle East
T384,Others,Block5,7.8,27,Middle East
T384,Others,Block5,7.5,26,Middle East
T384,Others,Block5,9.3,29,Middle East
T384,Others,Block5,9.5,27,Middle East
T385,Others,Block8,7.6,24,Middle East
T385,Others,Block8,7.2,22,Middle East
T385,Others,Block8,6.8,24,Middle East
T385,Others,Block8,,,Middle East
T385,Others,Block8,,,Middle East
T386,Others,Block3,7.5,34,Northern America
T386,Others,Block3,6.8,33,Northern America
T386,Others,Block3,6.4,30,Northern America
T386,Others,Block3,8.4,29,Northern America
T386,Others,Block3,8.3,30,Northern America
T387,Others,Block5,7.2,23,Northern America
T387,Others,Block5,11.4,24,Northern America
T387,Others,Block5,6.7,23,Northern America
T387,Others,Block5,6.4,19,Northern America
T387,Others,Block5,6.5,25,Northern America
T388,Others,Block8,6.8,19,Northern America
T388,Others,Block8,7.3,20,Northern America
T388,Others,Block8,7.8,19,Northern America
T388,Others,Block8,6.6,18,Northern America
T388,Others,Block8,,,Northern America
T389,Others,Block7,6.7,25,Northern America
T389,Others,Block7,6.8,29,Northern America
T389,Others,Block7,8.3,25,Northern America
T389,Others,Block7,9.9,28,Northern America
T389,Others,Block7,6.5,24,Northern America
T390,Others,Block3,6.2,27,Northern America
T390,Others,Block3,6.7,26,Northern America
T390,Others,Block3,5.8,28,Northern America
T390,Others,Block3,6.5,25,Northern America
T390,Others,Block3,7.3,33,Northern America
T391,Others,Block8,7,35,Southern America
T391,Others,Block8,6.2,34,Southern America
T391,Others,Block8,,,Southern America
T391,Others,Block8,,,Southern America
T391,Others,Block8,,,Southern America
T392,Others,Block6,6.9,23,Southern America
T392,Others,Block6,7.1,19,Southern America
T392,Others,Block6,6.8,22,Southern America
T392,Others,Block6,,,Southern America
T392,Others,Block6,,,Southern America
T393,Others,Block6,7.2,25,Southern America
T393,Others,Block6,8.4,22,Southern America
T393,Others,Block6,8,21,Southern America
T393,Others,Block6,,,Southern America
T393,Others,Block6,,,Southern America
TN02,Asia,Block7,6.8,37,Eastern Asia
TN02,Asia,Block7,6.8,33,Eastern Asia
TN02,Asia,Block7,6.4,30,Eastern Asia
TN02,Asia,Block7,6.3,28,Eastern Asia
TN02,Asia,Block7,6.6,32,Eastern Asia
TN03,Asia,Block7,8.8,28,Eastern Asia
TN03,Asia,Block7,8.3,30,Eastern Asia
TN03,Asia,Block7,10.3,29,Eastern Asia
TN03,Asia,Block7,7.3,27,Eastern Asia
TN03,Asia,Block7,9.5,32,Eastern Asia
TN04,Asia,Block7,7.8,26,Eastern Asia
TN04,Asia,Block7,7.3,28,Eastern Asia
TN04,Asia,Block7,6.7,27,Eastern Asia
TN04,Asia,Block7,7,24,Eastern Asia
TN04,Asia,Block7,7.6,26,Eastern Asia
T428,Asia,Block2,9.1,21,Eastern Asia
T428,Asia,Block2,9.6,22,Eastern Asia
T428,Asia,Block2,7.8,20,Eastern Asia
T428,Asia,Block2,9.3,20,Eastern Asia
T428,Asia,Block2,6.1,21,Eastern Asia
T425,Asia,Block3,6.9,21,Unknown
T425,Asia,Block3,6.9,28,Unknown
T425,Asia,Block3,5.6,19,Unknown
T425,Asia,Block3,7.1,23,Unknown
T425,Asia,Block3,7.1,30,Unknown
T424,Asia,Block5,6.6,24,Eastern Asia
T424,Asia,Block5,,24,Eastern Asia
T424,Asia,Block5,6.7,22,Eastern Asia
T424,Asia,Block5,6.4,21,Eastern Asia
T424,Asia,Block5,6.9,27,Eastern Asia
TN05,Asia,Block7,7.4,31,Eastern Asia
TN05,Asia,Block7,7.1,31,Eastern Asia
TN05,Asia,Block7,7.8,32,Eastern Asia
TN05,Asia,Block7,7.6,30,Eastern Asia
TN05,Asia,Block7,7.3,20,Eastern Asia
T405,Asia,Block2,7.1,24,Unknown
T405,Asia,Block2,7.7,19,Unknown
T405,Asia,Block2,6.7,19,Unknown
T405,Asia,Block2,,,Unknown
T405,Asia,Block2,,,Unknown
T426,Asia,Block2,7.3,21,Eastern Asia
T426,Asia,Block2,8.1,17,Eastern Asia
T426,Asia,Block2,10.3,24,Eastern Asia
T426,Asia,Block2,5.9,19,Eastern Asia
T426,Asia,Block2,8.5,22,Eastern Asia
T417,Asia,Block2,7.7,27,Unknown
T417,Asia,Block2,7.5,20,Unknown
T417,Asia,Block2,6.3,23,Unknown
T417,Asia,Block2,8.5,20,Unknown
T417,Asia,Block2,6.7,20,Unknown
T416,Asia,Block2,8.8,29,Unknown
T416,Asia,Block2,9.2,37,Unknown
T416,Asia,Block2,9.7,37,Unknown
T416,Asia,Block2,8.9,36,Unknown
T416,Asia,Block2,7.1,30,Unknown
T427,Asia,Block7,6.6,26,Unknown
T427,Asia,Block7,5.9,21,Unknown
T427,Asia,Block7,6.9,27,Unknown
T427,Asia,Block7,6.6,24,Unknown
T427,Asia,Block7,7.9,27,Unknown
T418,Asia,Block8,9,35,Unknown
T418,Asia,Block8,8.9,34,Unknown
T418,Asia,Block8,8.6,30,Unknown
T418,Asia,Block8,8.3,29,Unknown
T418,Asia,Block8,,,Unknown
T421,Asia,Block2,6.6,31,Unknown
T421,Asia,Block2,6.5,29,Unknown
T421,Asia,Block2,6.6,26,Unknown
T421,Asia,Block2,,,Unknown
T421,Asia,Block2,,,Unknown
T420,Asia,Block5,6.8,32,Unknown
T420,Asia,Block5,6.6,35,Unknown
T420,Asia,Block5,7.9,36,Unknown
T420,Asia,Block5,6.7,37,Unknown
T420,Asia,Block5,7.4,33,Unknown
T422,Asia,Block8,7.4,32,Unknown
T422,Asia,Block8,7.7,31,Unknown
T422,Asia,Block8,6.4,30,Unknown
T422,Asia,Block8,6,29,Unknown
T422,Asia,Block8,,,Unknown
T406,Asia,Block2,6.9,22,Unknown
T406,Asia,Block2,6.9,21,Unknown
T406,Asia,Block2,6.3,19,Unknown
T406,Asia,Block2,6.5,22,Unknown
T406,Asia,Block2,6.5,21,Unknown
T419,Asia,Block4,6.4,14,Unknown
T419,Asia,Block4,5.8,13,Unknown
T419,Asia,Block4,5.2,15,Unknown
T419,Asia,Block4,5.5,15,Unknown
T419,Asia,Block4,6.5,19,Unknown
T423,Asia,Block5,7.9,20,Unknown
T423,Asia,Block5,1,26,Unknown
T423,Asia,Block5,10.5,23,Unknown
T423,Asia,Block5,9,27,Unknown
T423,Asia,Block5,,,Unknown
T431,Asia,Block5,9.2,19,Southern Africa
T431,Asia,Block5,7.9,20,Southern Africa
T431,Asia,Block5,7.2,17,Southern Africa
T431,Asia,Block5,8.3,22,Southern Africa
T431,Asia,Block5,7.9,22,Southern Africa
T430,Asia,Block1,,,Southern Africa
T430,Asia,Block1,,,Southern Africa
T430,Asia,Block1,,,Southern Africa
T430,Asia,Block1,,,Southern Africa
T430,Asia,Block1,,,Southern Africa
T429,Asia,Block6,4.4,36,Southern Africa
T429,Asia,Block6,4,31,Southern Africa
T429,Asia,Block6,4.8,34,Southern Africa
T429,Asia,Block6,,,Southern Africa
T429,Asia,Block6,,,Southern Africa
TN06,Asia,Block7,9.9,30,Southern Africa
TN06,Asia,Block7,9.9,31,Southern Africa
TN06,Asia,Block7,9.5,39,Southern Africa
TN06,Asia,Block7,8,40,Southern Africa
TN06,Asia,Block7,9.7,34,Southern Africa
TN07,Asia,Block7,9.8,35,Southern Africa
TN07,Asia,Block7,9.8,35,Southern Africa
TN07,Asia,Block7,8,39,Southern Africa
TN07,Asia,Block7,9.9,31,Southern Africa
TN07,Asia,Block7,9.1,32,Southern Africa
TN08,Asia,Block7,8.5,31,Eastern Asia
TN08,Asia,Block7,8.8,29,Eastern Asia
TN08,Asia,Block7,9.2,29,Eastern Asia
TN08,Asia,Block7,9.9,30,Eastern Asia
TN08,Asia,Block7,9.6,35,Eastern Asia
TN09,Asia,Block7,8.7,30,Eastern Asia
TN09,Asia,Block7,8,31,Eastern Asia
TN09,Asia,Block7,8.3,30,Eastern Asia
TN09,Asia,Block7,8.2,24,Eastern Asia
TN09,Asia,Block7,8.5,30,Eastern Asia
TN10,Asia,Block7,9.3,23,Eastern Asia
TN10,Asia,Block7,8.3,25,Eastern Asia
TN10,Asia,Block7,9.4,29,Eastern Asia
TN10,Asia,Block7,8.3,27,Eastern Asia
TN10,Asia,Block7,8.6,28,Eastern Asia
TN11,Asia,Block7,9.7,29,Eastern Asia
TN11,Asia,Block7,9.6,28,Eastern Asia
TN11,Asia,Block7,8.7,30,Eastern Asia
TN11,Asia,Block7,10.1,31,Eastern Asia
TN11,Asia,Block7,10.6,31,Eastern Asia
TN12,Asia,Block7,9.5,26,Eastern Asia
TN12,Asia,Block7,8.9,27,Eastern Asia
TN12,Asia,Block7,10.1,20,Eastern Asia
TN12,Asia,Block7,7.8,27,Eastern Asia
TN12,Asia,Block7,9.5,22,Eastern Asia
TN13,Asia,Block7,8.3,28,Eastern Asia
TN13,Asia,Block7,10.5,26,Eastern Asia
TN13,Asia,Block7,8.8,28,Eastern Asia
TN13,Asia,Block7,10.3,30,Eastern Asia
TN13,Asia,Block7,8.4,27,Eastern Asia
TN14,Asia,Block7,9.4,27,Eastern Asia
TN14,Asia,Block7,8.6,29,Eastern Asia
TN14,Asia,Block7,8.6,28,Eastern Asia
TN14,Asia,Block7,8.7,27,Eastern Asia
TN14,Asia,Block7,8.1,25,Eastern Asia
TN15,Asia,Block7,8,26,Eastern Asia
TN15,Asia,Block7,8.2,24,Eastern Asia
TN15,Asia,Block7,7.4,27,Eastern Asia
TN15,Asia,Block7,9.7,29,Eastern Asia
TN15,Asia,Block7,8.8,26,Eastern Asia
TN16,Asia,Block8,8.9,24,Eastern Asia
TN16,Asia,Block8,8.7,27,Eastern Asia
TN16,Asia,Block8,9.3,29,Eastern Asia
TN16,Asia,Block8,8.6,25,Eastern Asia
TN16,Asia,Block8,9.9,30,Eastern Asia
T403,Asia,Block1,8.7,27,Eastern Asia
T403,Asia,Block1,8.7,29,Eastern Asia
T403,Asia,Block1,8.8,27,Eastern Asia
T403,Asia,Block1,8.8,26,Eastern Asia
T403,Asia,Block1,8.7,25,Eastern Asia
TN17,Asia,Block8,8.1,26,Eastern Asia
TN17,Asia,Block8,7.8,28,Eastern Asia
TN17,Asia,Block8,7.9,28,Eastern Asia
TN17,Asia,Block8,9.2,28,Eastern Asia
TN17,Asia,Block8,8,29,Eastern Asia
TN18,Asia,Block8,10,32,Eastern Asia
TN18,Asia,Block8,10.4,30,Eastern Asia
TN18,Asia,Block8,9.3,32,Eastern Asia
TN18,Asia,Block8,8.9,30,Eastern Asia
TN19,Asia,Block8,9.8,30,Eastern Asia
TN19,Asia,Block8,10.5,24,Eastern Asia
TN19,Asia,Block8,8.8,22,Eastern Asia
TN19,Asia,Block8,11.1,26,Eastern Asia
TN19,Asia,Block8,10.7,27,Eastern Asia
TN19,Asia,Block8,9.7,27,Eastern Asia
TN20,Asia,Block8,12.5,23,Eastern Asia
TN20,Asia,Block8,9.2,30,Eastern Asia
TN20,Asia,Block8,11.1,27,Eastern Asia
TN20,Asia,Block8,10.6,25,Eastern Asia
TN21,Asia,Block8,10.8,31,Eastern Asia
TN21,Asia,Block8,10.3,29,Eastern Asia
TN21,Asia,Block8,10.1,26,Eastern Asia
TN21,Asia,Block8,9.6,28,Eastern Asia
TN21,Asia,Block8,9.1,29,Eastern Asia
TN21,Asia,Block8,10.1,30,Eastern Asia
TN22,Asia,Block8,10.1,28,Eastern Asia
TN22,Asia,Block8,8.8,28,Eastern Asia
TN22,Asia,Block8,9.2,31,Eastern Asia
TN22,Asia,Block8,9.6,29,Eastern Asia
TN22,Asia,Block8,9.9,27,Eastern Asia
TN23,Asia,Block8,7.7,23,Eastern Asia
TN23,Asia,Block8,10.3,25,Eastern Asia
TN23,Asia,Block8,12.1,26,Eastern Asia
TN23,Asia,Block8,11.1,25,Eastern Asia
TN23,Asia,Block8,12.1,25,Eastern Asia
TN24,Asia,Block8,8.5,23,Eastern Asia
TN24,Asia,Block8,9.4,27,Eastern Asia
TN24,Asia,Block8,8.6,25,Eastern Asia
TN24,Asia,Block8,9.4,28,Eastern Asia
TN24,Asia,Block8,9.2,26,Eastern Asia
TN25,Asia,Block8,9,28,Eastern Asia
TN25,Asia,Block8,9.9,27,Eastern Asia
TN25,Asia,Block8,10.1,31,Eastern Asia
TN25,Asia,Block8,8.6,26,Eastern Asia
TN25,Asia,Block8,9.2,27,Eastern Asia
TN26,Asia,Block8,10.1,30,Eastern Asia
TN26,Asia,Block8,9.2,28,Eastern Asia
TN26,Asia,Block8,10.9,31,Eastern Asia
TN26,Asia,Block8,10.4,29,Eastern Asia
TN26,Asia,Block8,11.4,33,Eastern Asia
TN27,Asia,Block8,8.1,36,Eastern Asia
TN27,Asia,Block8,8.8,35,Eastern Asia
TN27,Asia,Block8,7.2,31,Eastern Asia
TN27,Asia,Block8,7.6,33,Eastern Asia
TN27,Asia,Block8,7.4,34,Eastern Asia
TN28,Asia,Block8,9.8,30,Eastern Asia
TN28,Asia,Block8,9.5,28,Eastern Asia
TN28,Asia,Block8,8.7,26,Eastern Asia
TN28,Asia,Block8,10.2,30,Eastern Asia
TN28,Asia,Block8,10,29,Eastern Asia
TN29,Asia,Block8,8.9,30,Eastern Asia
TN29,Asia,Block8,9.4,26,Eastern Asia
TN29,Asia,Block8,9.4,30,Eastern Asia
TN29,Asia,Block8,10,27,Eastern Asia
TN29,Asia,Block8,10.1,30,Eastern Asia
TN30,Asia,Block8,8.3,26,Eastern Asia
TN30,Asia,Block8,8.4,29,Eastern Asia
TN30,Asia,Block8,9.9,31,Eastern Asia
TN30,Asia,Block8,8.3,27,Eastern Asia
TN30,Asia,Block8,10.6,25,Eastern Asia
TN31,Asia,Block8,10.3,28,Eastern Asia
TN31,Asia,Block8,8.2,27,Eastern Asia
TN31,Asia,Block8,8.4,25,Eastern Asia
TN31,Asia,Block8,8.3,23,Eastern Asia
TN31,Asia,Block8,8.6,25,Eastern Asia
TN32,Asia,Block8,10.1,30,Eastern Asia
TN32,Asia,Block8,10.7,31,Eastern Asia
TN32,Asia,Block8,10.4,31,Eastern Asia
TN32,Asia,Block8,9.1,29,Eastern Asia
TN32,Asia,Block8,10.6,31,Eastern Asia
TN33,Asia,Block8,10,28,Eastern Asia
TN33,Asia,Block8,9.6,34,Eastern Asia
TN33,Asia,Block8,8.9,31,Eastern Asia
TN33,Asia,Block8,9.6,32,Eastern Asia
TN33,Asia,Block8,9,31,Eastern Asia
TN34,Asia,Block8,9,27,Eastern Asia
TN34,Asia,Block8,8.7,27,Eastern Asia
TN34,Asia,Block8,9.2,27,Eastern Asia
TN34,Asia,Block8,0.8,23,Eastern Asia
TN34,Asia,Block8,9.1,27,Eastern Asia
TN35,Asia,Block8,10.2,27,Eastern Asia
TN35,Asia,Block8,10.1,29,Eastern Asia
TN35,Asia,Block8,10.1,28,Eastern Asia
TN35,Asia,Block8,10.6,28,Eastern Asia
TN35,Asia,Block8,9.3,28,Eastern Asia
TN36,Asia,Block8,8.1,27,Eastern Asia
TN36,Asia,Block8,8.1,25,Eastern Asia
TN36,Asia,Block8,8.1,27,Eastern Asia
TN36,Asia,Block8,9.2,27,Eastern Asia
TN36,Asia,Block8,8.2,26,Eastern Asia
T398,Asia,Block1,9.7,28,Eastern Asia
T398,Asia,Block1,11,26,Eastern Asia
T398,Asia,Block1,10.4,29,Eastern Asia
T398,Asia,Block1,10.4,28,Eastern Asia
T398,Asia,Block1,9.4,28,Eastern Asia
TN37,Asia,Block8,8.8,25,Eastern Asia
TN37,Asia,Block8,9.3,31,Eastern Asia
TN37,Asia,Block8,9.8,30,Eastern Asia
TN37,Asia,Block8,9.8,27,Eastern Asia
TN37,Asia,Block8,9.8,28,Eastern Asia
TN38,Asia,Block8,9.5,25,Eastern Asia
TN38,Asia,Block8,8.8,27,Eastern Asia
TN38,Asia,Block8,9.2,27,Eastern Asia
TN38,Asia,Block8,9.3,26,Eastern Asia
TN38,Asia,Block8,8.6,26,Eastern Asia
TN39,Asia,Block8,9.5,26,Eastern Asia
TN39,Asia,Block8,7.8,26,Eastern Asia
TN39,Asia,Block8,9.4,26,Eastern Asia
TN39,Asia,Block8,7.9,24,Eastern Asia
TN39,Asia,Block8,8.7,23,Eastern Asia
TN40,Asia,Block8,9.8,32,Eastern Asia
TN40,Asia,Block8,9.2,27,Eastern Asia
TN40,Asia,Block8,9,26,Eastern Asia
TN40,Asia,Block8,9.3,27,Eastern Asia
TN40,Asia,Block8,10,27,Eastern Asia
TN41,Asia,Block8,9.3,29,Eastern Asia
TN41,Asia,Block8,9.4,28,Eastern Asia
TN41,Asia,Block8,10.3,28,Eastern Asia
TN41,Asia,Block8,10.3,28,Eastern Asia
TN41,Asia,Block8,10.9,25,Eastern Asia
T404,Asia,Block7,9.1,29,Eastern Asia
T404,Asia,Block7,10,30,Eastern Asia
T404,Asia,Block7,10,31,Eastern Asia
T404,Asia,Block7,9.6,27,Eastern Asia
T404,Asia,Block7,8.9,23,Eastern Asia
TN42,Asia,Block8,8.5,27,Eastern Asia
TN42,Asia,Block8,9.4,30,Eastern Asia
TN42,Asia,Block8,9.2,31,Eastern Asia
TN42,Asia,Block8,9.1,34,Eastern Asia
TN42,Asia,Block8,9.1,29,Eastern Asia
TN43,Asia,Block8,8.4,30,Eastern Asia
TN43,Asia,Block8,9.5,30,Eastern Asia
TN43,Asia,Block8,9.7,32,Eastern Asia
TN43,Asia,Block8,8.6,30,Eastern Asia
TN43,Asia,Block8,9.4,31,Eastern Asia
TN44,Asia,Block8,10.2,28,Eastern Asia
TN44,Asia,Block8,10.2,30,Eastern Asia
TN44,Asia,Block8,9.6,29,Eastern Asia
TN44,Asia,Block8,9.5,32,Eastern Asia
TN44,Asia,Block8,11.3,27,Eastern Asia
TN45,Asia,Block8,10,30,Eastern Asia
TN45,Asia,Block8,9.8,33,Eastern Asia
TN45,Asia,Block8,9.6,29,Eastern Asia
TN45,Asia,Block8,9.6,29,Eastern Asia
TN45,Asia,Block8,9.1,28,Eastern Asia
TN46,Asia,Block8,8.8,29,Eastern Asia
TN46,Asia,Block8,8.4,28,Eastern Asia
TN46,Asia,Block8,8.9,30,Eastern Asia
TN46,Asia,Block8,9.6,33,Eastern Asia
TN46,Asia,Block8,9.4,33,Eastern Asia
T394,Asia,Block8,10.9,30,Eastern Asia
T394,Asia,Block8,9.9,33,Eastern Asia
T394,Asia,Block8,9.6,27,Eastern Asia
T394,Asia,Block8,9.7,30,Eastern Asia
T394,Asia,Block8,9.5,30,Eastern Asia
TN47,Asia,Block8,9,34,Eastern Asia
TN47,Asia,Block8,9.1,36,Eastern Asia
TN47,Asia,Block8,9.5,32,Eastern Asia
TN47,Asia,Block8,8.4,30,Eastern Asia
TN47,Asia,Block8,8.5,26,Eastern Asia
T415,Asia,Block2,8.2,25,Eastern Asia
T415,Asia,Block2,10.8,23,Eastern Asia
T415,Asia,Block2,10,26,Eastern Asia
T415,Asia,Block2,10.1,26,Eastern Asia
T415,Asia,Block2,9.3,25,Eastern Asia
TN48,Asia,Block8,9.3,32,Eastern Asia
TN48,Asia,Block8,9.9,29,Eastern Asia
TN48,Asia,Block8,9.8,29,Eastern Asia
TN48,Asia,Block8,9.7,28,Eastern Asia
TN48,Asia,Block8,9.3,29,Eastern Asia
T402,Asia,Block2,10.2,36,Eastern Asia
T402,Asia,Block2,8.2,34,Eastern Asia
T402,Asia,Block2,7.5,29,Eastern Asia
T402,Asia,Block2,9.9,34,Eastern Asia
T402,Asia,Block2,8.8,33,Eastern Asia
TN49,Asia,Block8,9.2,27,Eastern Asia
TN49,Asia,Block8,8.9,26,Eastern Asia
TN49,Asia,Block8,9,29,Eastern Asia
TN49,Asia,Block8,8,26,Eastern Asia
TN49,Asia,Block8,7.9,27,Eastern Asia
TN50,Asia,Block8,8.1,31,Eastern Asia
TN50,Asia,Block8,10.6,21,Eastern Asia
TN50,Asia,Block8,9.4,24,Eastern Asia
TN50,Asia,Block8,8,23,Eastern Asia
TN50,Asia,Block8,9.3,26,Eastern Asia
TN51,Asia,Block8,7.3,29,Eastern Asia
TN51,Asia,Block8,7,32,Eastern Asia
TN51,Asia,Block8,8.1,32,Eastern Asia
TN51,Asia,Block8,7.9,28,Eastern Asia
TN51,Asia,Block8,8.3,34,Eastern Asia
T401,Asia,Block4,9.5,29,Eastern Asia
T401,Asia,Block4,8.1,27,Eastern Asia
T401,Asia,Block4,9,29,Eastern Asia
T401,Asia,Block4,8.4,27,Eastern Asia
T401,Asia,Block4,9,31,Eastern Asia
TN52,Asia,Block8,8.3,25,Eastern Asia
TN52,Asia,Block8,8.6,26,Eastern Asia
TN52,Asia,Block8,9.5,28,Eastern Asia
TN52,Asia,Block8,9.5,31,Eastern Asia
TN52,Asia,Block8,8.3,26,Eastern Asia
T400,Asia,Block2,9.1,31,Eastern Asia
T400,Asia,Block2,8.8,29,Eastern Asia
T400,Asia,Block2,8.1,27,Eastern Asia
T400,Asia,Block2,7.7,29,Eastern Asia
T400,Asia,Block2,9.5,23,Eastern Asia
TN53,Asia,Block8,7.6,29,Eastern Asia
TN53,Asia,Block8,8.1,26,Eastern Asia
TN53,Asia,Block8,7.3,26,Eastern Asia
TN53,Asia,Block8,8.5,26,Eastern Asia
TN53,Asia,Block8,8.8,26,Eastern Asia
TN54,Asia,Block8,10.8,31,Eastern Asia
TN54,Asia,Block8,7.4,33,Eastern Asia
TN54,Asia,Block8,8.4,31,Eastern Asia
TN54,Asia,Block8,8.9,28,Eastern Asia
TN54,Asia,Block8,8,28,Eastern Asia
T413,Asia,Block5,7,29,Eastern Asia
T413,Asia,Block5,8.7,30,Eastern Asia
T413,Asia,Block5,7.6,25,Eastern Asia
T413,Asia,Block5,8.4,29,Eastern Asia
T413,Asia,Block5,8.3,33,Eastern Asia
T414,Asia,Block7,8,29,Eastern Asia
T414,Asia,Block7,8,27,Eastern Asia
T414,Asia,Block7,7.2,21,Eastern Asia
T414,Asia,Block7,7.6,25,Eastern Asia
T414,Asia,Block7,9.6,27,Eastern Asia
T399,Asia,Block2,9.6,32,Eastern Asia
T399,Asia,Block2,7.4,23,Eastern Asia
T399,Asia,Block2,7.5,29,Eastern Asia
T399,Asia,Block2,9.2,29,Eastern Asia
T399,Asia,Block2,9.4,29,Eastern Asia
TN55,Asia,Block8,8.5,32,Eastern Asia
TN55,Asia,Block8,8.5,30,Eastern Asia
TN55,Asia,Block8,7.7,24,Eastern Asia
TN55,Asia,Block8,8.1,29,Eastern Asia
TN55,Asia,Block8,7.6,28,Eastern Asia
T395,Asia,Block3,8.4,31,Eastern Asia
T395,Asia,Block3,8.2,30,Eastern Asia
T395,Asia,Block3,8.8,27,Eastern Asia
T395,Asia,Block3,8.6,33,Eastern Asia
T395,Asia,Block3,7.9,31,Eastern Asia
T397,Asia,Block5,6.7,25,Eastern Asia
T397,Asia,Block5,7.9,21,Eastern Asia
T397,Asia,Block5,7.4,28,Eastern Asia
T397,Asia,Block5,6.7,24,Eastern Asia
T397,Asia,Block5,10.2,28,Eastern Asia
T396,Asia,Block1,6.2,24,Eastern Asia
T396,Asia,Block1,6.4,26,Eastern Asia
T396,Asia,Block1,6.7,28,Eastern Asia
T396,Asia,Block1,7.1,28,Eastern Asia
T396,Asia,Block1,7,26,Eastern Asia
TN56,Asia,Block8,7.9,27,Eastern Asia
TN56,Asia,Block8,6.7,26,Eastern Asia
TN56,Asia,Block8,7.5,25,Eastern Asia
TN56,Asia,Block8,9.1,25,Eastern Asia
TN56,Asia,Block8,7.8,27,Eastern Asia
TN57,Asia,Block8,7.3,27,Eastern Asia
TN57,Asia,Block8,6.5,23,Eastern Asia
TN57,Asia,Block8,6.8,21,Eastern Asia
TN57,Asia,Block8,6.6,25,Eastern Asia
TN57,Asia,Block8,6.8,25,Eastern Asia
TN58,Asia,Block8,7.8,27,Eastern Asia
TN58,Asia,Block8,7.7,29,Eastern Asia
TN58,Asia,Block8,7.4,31,Eastern Asia
TN58,Asia,Block8,7.5,32,Eastern Asia
TN58,Asia,Block8,7.4,25,Eastern Asia
TN59,Asia,Block8,9.5,28,Eastern Asia
TN59,Asia,Block8,10.4,30,Eastern Asia
TN59,Asia,Block8,8.1,25,Eastern Asia
TN59,Asia,Block8,9,29,Eastern Asia
TN59,Asia,Block8,8.2,28,Eastern Asia
T407,Asia,Block2,8.2,28,Eastern Asia
T407,Asia,Block2,7.8,28,Eastern Asia
T407,Asia,Block2,7.8,25,Eastern Asia
T407,Asia,Block2,7.6,29,Eastern Asia
T407,Asia,Block2,7.5,27,Eastern Asia
TN60,Asia,Block8,7.3,31,Eastern Asia
TN60,Asia,Block8,7.3,34,Eastern Asia
TN60,Asia,Block8,6.8,31,Eastern Asia
TN60,Asia,Block8,7.5,31,Eastern Asia
TN60,Asia,Block8,7.4,32,Eastern Asia
TN61,Asia,Block8,13.5,42,Eastern Asia
TN61,Asia,Block8,8.7,41,Eastern Asia
TN61,Asia,Block8,7.8,43,Eastern Asia
TN61,Asia,Block8,7.6,41,Eastern Asia
TN61,Asia,Block8,8.3,40,Eastern Asia
T408,Asia,Block5,7.8,31,Eastern Asia
T408,Asia,Block5,10.1,26,Eastern Asia
T408,Asia,Block5,10.3,27,Eastern Asia
T408,Asia,Block5,10.2,35,Eastern Asia
T408,Asia,Block5,8.9,33,Eastern Asia
T410,Asia,Block7,6.7,31,Eastern Asia
T410,Asia,Block7,6.5,30,Eastern Asia
T410,Asia,Block7,6.7,29,Eastern Asia
T410,Asia,Block7,7.3,30,Eastern Asia
T410,Asia,Block7,7.1,27,Eastern Asia
T411,Asia,Block2,6.7,29,Eastern Asia
T411,Asia,Block2,6.7,28,Eastern Asia
T411,Asia,Block2,7,28,Eastern Asia
T411,Asia,Block2,6.7,28,Eastern Asia
T411,Asia,Block2,6.3,29,Eastern Asia
T409,Asia,Block4,6.1,25,Eastern Asia
T409,Asia,Block4,6.1,29,Eastern Asia
T409,Asia,Block4,5.6,25,Eastern Asia
T409,Asia,Block4,5.2,28,Eastern Asia
T409,Asia,Block4,5.1,26,Eastern Asia
T412,Asia,Block7,7.4,26,Eastern Asia
T412,Asia,Block7,6.5,29,Eastern Asia
T412,Asia,Block7,9.9,26,Eastern Asia
